title,cuisine,city,address,rating
Fig & Olive - Uptown,Mediterranean,Manhattan,808 Lexington Ave.,4.0
Fino Ristorante Italiano,Italian,Manhattan,82 Beaver St.,3.5
FishTag,Seafood,Manhattan,222 W. 79th St.,4.0
Fogo de Chão Churrascaria Brazilian Steakhouse,Brazilian,Manhattan,40 W. 53rd St.,4.0
Fonda,Mexican,Manhattan,40 Ave. B,4.0
Frankie & Johnnie's Steakhouse - 37th Street,Steakhouse,Manhattan,32 W. 37th St.,4.0
Fung Tu,Chinese,Manhattan,22 Orchard St.,4.0
Gabriel's Bar & Restaurant,Italian,Manhattan,11 W. 60th St.,4.0
Gallaghers Steakhouse,Steakhouse,Manhattan,228 W. 52nd St.,4.0
Gaonnuri,Korean,Manhattan,"1250 Broadway, 39th fl.",3.5
Giorgio's of Gramercy,American New,Manhattan,27 E. 21st St.,4.0
Glass House Tavern,American New,Manhattan,252 W. 47th St.,3.5
Gotham Bar & Grill,American New,Manhattan,12 E. 12th St.,4.5
Grape & Vine,American New,Manhattan,"The Jade Hotel Greenwich Village, 52 W. 13th St.",4.0
Grotta Azzurra Restaurant,Italian,Manhattan,177 Mulberry St.,3.0
Hakkasan New York,Chinese,Manhattan,311 W. 43rd St.,3.5
HanGawi,Korean,Manhattan,12 E. 32nd St.,4.0
Harlow,Seafood,Manhattan,109 E. 56th St.,3.5
Haru Amsterdam Avenue,Japanese,Manhattan,433 Amsterdam Ave.,3.5
Haru Gramercy Park,Japanese,Manhattan,220 Park Ave. South,3.5
Haru Third Avenue,Japanese,Manhattan,1329 Third Ave.,3.0
Hatsuhana Sushi Restaurant,Japanese,Manhattan,17 E. 48th St.,4.0
i Trulli Ristorante/Enoteca,Italian,Manhattan,122 E. 27th St.
Il Cantinori Restaurant,Italian,Manhattan,32 E. 10th St.,4.0
Il Mulino New York—Downtown,Italian,Manhattan,86 W. 3rd St.,4.0
Il Mulino New York—Uptown,Italian,Manhattan,37 E. 60th St.,3.5
Il Mulino Prime,Steakhouse,Manhattan,331 West Broadway,4.0
Il Mulino Trattoria,Italian,Manhattan,36 E. 20th St.,3.5
ilili Restaurant,Mediterranean,Manhattan,236 Fifth Ave.,4.0
Inakaya New York,Japanese,Manhattan,231 W. 40th St.,3.5
Indochine,Vietnamese,Manhattan,430 Lafayette St.,3.5
Isabella's,Mediterranean,Manhattan,359 Columbus Ave.,3.5
JoJo,French,Manhattan,160 E. 64th St.,4.0
Junoon,Indian,Manhattan,27 W. 24th St.,4.0
Kefi,Greek,Manhattan,505 Columbus Ave.,4.0
Kellari Taverna,Greek,Manhattan,19 W. 44th St.,3.5
Ken & Cook,American New,Manhattan,19 Kenmare St.,3.5
Kin Shop,Thai,Manhattan,469 Sixth Ave.,3.5
Koi SoHo,Japanese,Manhattan,"Trump SoHo New York, 246 Spring St.",4.0
Kristalbelli,Korean,Manhattan,8 W. 36th St.,4.0
La Fonda Del Sol,Spanish/Tapas,Manhattan,"Met Life Building, 200 Park Ave.",3.5
La Masseria,Italian,Manhattan,235 W. 48th St.,4.0
Lafayette,French,Manhattan,380 Lafayette St.,3.5
Lavo Restaurant,Italian,Manhattan,39 E. 58th St.,3.0
Le Cirque,French,Manhattan,151 E. 58th St.,3.5
Le Colonial,Vietnamese,New York,149 E. 57th St.,3.5
Le Périgord,French,Manhattan,405 E. 52nd St.,3.5
"L'École, The Restaurant of The International Culinary Center",Continental,Manhattan,462 Broadway,3.5
Left Bank,American New,Manhattan,117 Perry St.,4.0
Les Halles,French,Manhattan,411 Park Ave. So.,3.5
Les Halles - Downtown,French,Manhattan,15 John St.,3.5
Lexington Brass,American New,Manhattan,517 Lexington Ave.,3.5
Lido,Italian,Manhattan,2168 Frederick Douglass Blvd.,4.0
Lincoln Center Kitchen,American New,Manhattan,"Avery Fisher Hall, Lincoln Center, Columbus Ave. at 64th St.",2.5
Lincoln Ristorante,Italian,Manhattan,142 W. 65th St.,4.0
Little Park,American New,Manhattan,"Smyth, a Thompson Hotel, 85 West Broadway",4.5
Lupa Osteria Romana,Italian,Manhattan,170 Thompson St.,4.0
Lure Fishbar,Seafood,Manhattan,142 Mercer St.,4.0
Macelleria,Steakhouse,Manhattan,48 Gansevoort St.,3.0
Macondo West,Pan-Latin,Manhattan,2 Bank St.,4.5
Maloney & Porcelli,Steakhouse,Manhattan,37 E. 50th St.,4.0
MarkJoseph Steakhouse,Steakhouse,Manhattan,261 Water St.,4.0
Marseille,French,Manhattan,630 Ninth Ave.,3.5
Match 65 Brasserie,French,Manhattan,29 E. 65th St.,3.0
Maya,Mexican,Manhattan,1191 First Ave.,3.5
Maze by Gordon Ramsay,French,Manhattan,151 W. 54th St.,3.5
Mercer Kitchen,American New,Manhattan,99 Prince St.,3.5
Mezzogiorno Restaurant,Italian,Manhattan,195 Spring St.,3.5
Michael Jordan's The Steak House N.Y.C.,Steakhouse,Manhattan,"Grand Central Terminal, 23 Vanderbilt Ave.",3.0
Michael's Restaurant,American New,Manhattan,24 W. 55th St.,3.5
Mint Restaurant,Indian,Manhattan,150 E. 50th St.,3.0
Minton&#39;s,Soul Food/Southern,Manhattan,210 W. 118th St.
Molyvos Restaurant,Greek,Manhattan,871 Seventh Ave.,3.5
Monkey Bar,American Traditional,Manhattan,60 E. 54th St.,3.5
Montebello Restaurant,Italian,Manhattan,120 E. 56th St.,3.0
Morimoto NY,Japanese,Manhattan,88 Tenth Ave.,4.0
Morrell Wine Bar & Cafe,American New,Manhattan,One Rockefeller Plaza,3.5
Morton's Grille,American Traditional,Manhattan,233 Park Ave. South,3.5
Morton's The Steakhouse - Manhattan,Steakhouse,Manhattan,551 Fifth Ave.,4.0
Morton's The Steakhouse - World Trade Center,Steakhouse,Manhattan,136 Washington St.,4.0
Mr. Chow New York - 57th Street,Chinese,Manhattan,324 E. 57th St.,3.0
Mr. Chow New York - Tribeca,Chinese,Manhattan,121 Hudson St.,3.5
Mr. K's,Chinese,Manhattan,570 Lexington Ave.,3.0
Murray's Cheese Bar,American New,Manhattan,264 Bleecker St.,4.0
Naples 45,Italian,Manhattan,200 Park Ave.,3.5
Narcissa,American New,Manhattan,"The Standard, East Village, 25 Cooper Sq.",4.0
Natsumi,Japanese,Manhattan,226 W. 50th St.,4.0
Nice Matin,French,Manhattan,201 W. 79th St.,3.5
Nick & Stef's Steakhouse,Steakhouse,Manhattan,9 Penn Plaza,4.0
Nino's Restaurant,Italian,Manhattan,1354 First Ave.,3.5
Nino's Tuscany Steakhouse,Italian,Manhattan,117 W. 58th St.,3.5
Nobu New York,Japanese,Manhattan,105 Hudson St.,4.0
Nobu Next Door,Japanese,Manhattan,105 Hudson St.,4.0
Norma's,American New,Manhattan,"Le Parker Meridien New York, 118 W. 57th St.",3.5
North Square Restaurant & Lounge,American New,Manhattan,103 Waverly Pl.,3.5
Nougatine at Jean-Georges,American New,Manhattan,1 Central Park West,4.0
NYY Steak - Manhattan,Steakhouse,Manhattan,7 W. 51st St.,4.0
Obao Hell's Kitchen,Thai,Manhattan,647 Ninth Ave.,4.0
Obicà Mozzarella Bar Pizza e Cucina,Italian,Manhattan,928 Broadway,4.0
Ocean Grill,Seafood,Manhattan,384 Columbus Ave.,4.0
Opia Restaurant Bar Lounge,French,Manhattan,"130 E. 57th St., 2nd fl.",3.0
Orsay Restaurant,French,Manhattan,1057 Lexington Ave.,3.5
Orso Restaurant,Italian,Manhattan,322 W. 46th St.,4.0
Ouest,American New,Manhattan,2315 Broadway,4.0
Pampano,Mexican,Manhattan,209 E. 49th St.,4.0
Paramount Bar & Grill,American New,Manhattan,"Paramount Hotel New York, 235 W. 46th St.",3.0
Park Avenue Winter,American New,Manhattan,360 Park Ave. South,4.0
Parlor Steakhouse,Steakhouse,Manhattan,1600 Third Ave.,3.5
Pera Mediterranean Brasserie,Mediterranean,Manhattan,303 Madison Ave.,3.5
Pera SoHo,Mediterranean,Manhattan,54 Thompson St.,3.5
Perilla,American New,Manhattan,9 Jones St.,4.0
Periyali,Greek,Manhattan,35 W. 20th St.,4.0
Perry Street,American New,Manhattan,176 Perry St.,4.0
Pershing Square,American Traditional,Manhattan,90 E. 42nd St.,3.0
Petrossian,Continental,Manhattan,182 W. 58th St.,3.5
Pigalle,French,Manhattan,790 Eighth Ave.,3.0
Porter House New York,Steakhouse,Manhattan,"Time Warner Center, 10 Columbus Circle, 4th fl.",3.5
Raymi,Peruvian,Manhattan,43 W. 24th St.,4.0
Red Rooster Harlem,American New,Manhattan,310 Lenox Ave.,3.5
Remi Restaurant,Italian,Manhattan,145 W. 53rd St.,3.5
Restaurant Nippon,Japanese,Manhattan,155 E. 52nd St.,4.0
Resto,French,Manhattan,111 E. 29th St.,3.5
Ristorante Morini,Italian,Manhattan,1167 Madison Ave.,4.0
Riverpark,American New,Manhattan,450 E. 29th St.,4.0
Rock Center Café,American Traditional,Manhattan,20 W. 50th St.,3.0
Rocking Horse Cafe,Mexican,Manhattan,182 Eighth Ave.,4.0
Root & Bone,Soul Food/Southern,Manhattan,200 E. 3rd St.,4.0
Rosa Mexicano at First Avenue,Mexican,Manhattan,1063 First Ave.,3.5
Rosa Mexicano at Lincoln Center,Mexican,Manhattan,61 Columbus Ave.,3.5
Rosa Mexicano at Union Square,Mexican,Manhattan,9 E. 18th St.,3.5
Rossini's Restaurant,Italian,Manhattan,108 E. 38th St.,3.5
Ruby Foo's Times Square,Asian Fusion,Manhattan,1626 Broadway,3.0
